n(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV),M (g/mol),HOMO_n(eV),'-LUMO_n(eV)
O=C(N(C1=CC=C(C(C=CC=C2)=C2C3(CCCC)CCCC)C3=C1)C4=O)C5=CC=CC6=C5C4=CC=C6C#CC7=CC=C(C8=CC=C(C9=CC=C(C#CC%10=CC=C%11C%12=C%10C=CC=C%12C(N(C%13=CC=C(C(C=CC=C%14)=C%14C%15(CCCC)CCCC)C%15=C%13)C%11=O)=O)S9)C%16=NSN=C8%16)S7,1.16,1.16,3.92,0.36,0.75,2.13,1291.66,5.56,3.43
O=C(N(CC(CC)CC)C1=O)C2=CC=C3C(C2=C1C=C4N5CCCCCC)=C4C6=C5C=C(C(N7CC(CC)CC)=O)C8=C6C3=C(C#CC#CC9=CC%10=C%11C%12=C9C%13=CC=C(C(N%14CC(CC)CC)=O)C%15=C%13C(C%12=C%16C=C%11C(N(CC(CC)CC)C%10=O)=O)=C(N%16CCCCCC)C=C%15C%14=O)C=C8C7=O,1.34,1.34,4.41,0.322,0.95,2.18,1357.71,5.98,3.8
O=C(N(CC(CC)CC)C1=O)C2=CC=C3C(C2=C1C=C4N5CCCCCC)=C4C6=C5C=C(C(N7CC(CC)CC)=O)C8=C6C3=C(C#CC9=CC%10=C%11C%12=C9C%13=CC=C(C(N%14CC(CC)CC)=O)C%15=C%13C(C%12=C%16C=C%11C(N(CC(CC)CC)C%10=O)=O)=C(N%16CCCCCC)C=C%15C%14=O)C=C8C7=O,1.22,1.22,4.33,0.291,0.97,2.04,1333.68,5.84,3.8
O=C(N(CC(CC)CC)C1=O)C2=CC=C3C(C2=C1C=C4N5CCCCCC)=C4C6=C5C=C(C(N7CC(CC)CC)=O)C8=C6C3=C(C9=CC%10=C%11C%12=C9C%13=CC=C(C(N%14CC(CC)CC)=O)C%15=C%13C(C%12=C%16C=C%11C(N(CC(CC)CC)C%10=O)=O)=C(N%16CCCCCC)C=C%15C%14=O)C=C8C7=O,5.23,5.23,11.54,0.473,0.96,2.25,1309.66,6.05,3.8
O=C(N(CC(CC)CCCC)C1=O)C2=C(C3=CC=C(C4=CC=C(C5=CC=C(CCCCCC)S5)S4)S3)C=C(C(N6CC(CC)CCCC)=O)C7=C2C1=CC(C8=CC=C(C9=CC=C(C%10=CC=C(CCCCCC)S%10)S9)S8)=C7C6=O,1.5,1.45,3.43,0.53,0.82,1.48,1151.69,5.515000000000001,4.074999999999999
O=C(N(CC(CC)CCCC)C1=O)C2=C(C3=CC=C(C4=CC=C(C5=CC=CS5)S4)S3)C=C(C(N6CC(CC)CCCC)=O)C7=C2C1=CC(C8=CC=C(C9=CC=C(C%10=CC=CS%10)S9)S8)=C7C6=O,0.09,0.09,0.45,0.33,0.64,1.46,983.36,5.6,4.14
O=C(N(CC(CC)CCCC)C1=O)C2=C(C3=CC=C(C4=CC=CS4)S3)C=C(C(N5CC(CC)CCCC)=O)C6=C2C1=CC(C7=CC=C(C8=CC=CS8)S7)=C6C5=O,0.19,0.17,0.81,0.34,0.71,1.71,819.12,5.83,4.12
O=C(N(CC(CC)CCCC)C1=O)C2=CC(C3=CC(N(C4=CC=C(C5=C(C6=CC=C(C7=O)C8C6=C9C=CC8C(N7CC(CC)CCCC)=O)C(C9=CC=C%10C(N(CC(CC)CCCC)C%11=O)=O)=C%10C%11=C5)C=C4)C%12=CC=C(C(C=C%13C(N(CC(CC)CCCC)C%14=O)=O)=C%15C%16=C%13C%14=CC=C%16C%17=CC=C(C%18=O)C%19C%17=C%15C=CC%19C(N%18CC(CC)CCCC)=O)C=C%12)=CC=C3)=C(C%20=C%21C=CC1C%202)C%22=CC=C%23C%24=C%22C%21=CC=C%24C(N(CC(CC)CCCC)C%23=O)=O,3.32,3.22,11.97,0.336,0.87,1.7,2089.68,5.4,3.7
O=C(N(CC(CC)CCCC)C1=O)C2=CC=C(C(N3CC(CC)CCCC)=O)C4=C2C1=C(/C=C/C(C=C5C(N(CC(CC)CCCC)C6=O)=O)=C(C(N7CC(CC)CCCC)=O)C8=C5C6=CC=C8C7=O)C=C4C3=O,2.41,2.41,5.47,0.591,0.98,2.39,1005.31,6.74,4.35
O=C(N(CC(CC)CCCC)C1=O)C2=CC=C3C(C2=C1C=C4OC)=C4C5=CC=C(C(N6CC(CC)CCCC)=O)C7=C5C3=C(C8=CC=C(C(C=C9C(N(CC(CC)CCCC)C%10=O)=O)=C%11C%12=C9C%10=CC=C%12C%13=C(OC)C=C(C(N(CC(CC)CCCC)C%14=O)=O)C%15=C%14C=CC%11=C%13%15)S8)C=C7C6=O,4.34,4.22,9.99,0.528,0.78,1.81,1369.73,5.65,3.84
O=C(N(CC(CC)CCCC)C1=O)C2=CC=C3C(C2=C1C=C4OCOC)=C4C5=CC=C(C(N6CC(CC)CCCC)=O)C7=C5C3=C(C8=CC=C(C(C=C9C(N(CC(CC)CCCC)C%10=O)=O)=C%11C%12=C9C%10=CC=C%12C%13=C(OCOC)C=C(C(N(CC(CC)CCCC)C%14=O)=O)C%15=C%14C=CC%11=C%13%15)S8)C=C7C6=O,6.08,6.0,12.83,0.564,0.84,1.81,1429.78,5.65,3.84
O=C(N(CC(CC)CCCC)C1=O)C2=CC=CC3=C2C1=CC=C3C4=CC=C(/C(C#N)=C/C5=C(OC)C=C(/C=C(C#N)/C(S6)=CC=C6C7=CC=C8C9=C7C=CC=C9C(N(CC(CC)CCCC)C8=O)=O)C(OC)=C5)S4,1.32,1.32,6.23,0.43,0.54,2.09,1019.29,5.75,3.66
O=C(N(CC(CC)CCCC)C1=O)C2=CC=CC3=C2C1=CC=C3C4=CC=C(/C(C#N)=C/C5=C(OCCCCCC)C=C(/C=C(C#N)/C(S6)=CC=C6C7=CC=C8C9=C7C=CC=C9C(N(CC(CC)CCCC)C8=O)=O)C(OCCCCCC)=C5)S4,7.64,7.5,11.88,0.63,1.03,2.04,1159.56,5.79,3.585
O=C(N(CC(CC)CCCC)C1=O)C2=CC=CC3=C2C1=CC=C3C4=CC=C(/C(C#N)=C/C5=CC=C(/C=C(C#N)/C(S6)=CC=C6C7=CC=C8C9=C7C=CC=C9C(N(CC(CC)CCCC)C8=O)=O)C=C5)S4,2.51,2.51,8.04,0.46,0.73,2.48,959.24,5.9,3.42
O=C(N(CC(CC)CCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=C6C=CC7C5C(C(N(CC(CC)CCCCC)C7=O)=O)=C4)C8=CC=C9C%10=C8C6=C(OCCOC)C=C%10C(N(CC(CC)CCCC)C9=O)=O)=C(C%11=C%12C=CC1C%112)C%13=CC=C%14C%15=C%13C%12=C(OCCOC)C=C%15C(N(CC(CC)CCCC)C%14=O)=O,7.24,6.94,13.23,0.594,0.887,1.8,1489.92,5.64,3.84
O=C(N(CC(CCCC)CCCCCC)C1=O)C2=CC=C3C4=C2C1=CC=C4C5=NC6=C(C=C(N=C7C(C8=CC=C9C%10=C8C7=CC=C%10C(N(CC(CCCC)CCCCCC)C9=O)=O)=C%11C%12=CC=CC=C%12)C%11=C6)C(C%13=CC=CC=C%13)=C53,3.08,2.9,8.13,0.39,0.98,2.2,1055.38,5.8,3.6
O=C(N(CC(CCCCCC)CCCCCCCC)C1=O)C2=C(C1=CC=C3C4=NC5=C(C6=CC=CS6)C7=NC8=C9C%10=C%11C(C%12=CC=C%118)=C(C(N(CC(CCCCCC)CCCCCCCCC)C%12=O)=O)C=C%10)C3=C(C4=NC5=C(C%13=CC=CS%13)C7=N9)C=C2,1.8,1.74,5.14,0.44,0.79,1.6,1195.64,5.3,3.7
O=C(N(CC(CCCCCC)CCCCCCCC)C1=O)C2=CC=CC3=C2C1=CC=C3C4=CC=C(C#CC(S5)=CC=C5C6=CC=C7C8=C6C=CC=C8C(N(CC(CCCCCC)CCCCCCCC)C7=O)=O)S4,0.24,0.23,0.9,0.22,1.2,2.46,1029.5,5.95,3.49
O=C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=O)C2=C(C1=CC=C3C4=NC5=C(C6=C(C)C(C)=C(C(C7=N8)=C9N=C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C(C%13=C%10C%11=C%12C=C%13)=NC9=C(C7=NC(C%14=C%15C%16=C%17C=C%14)=C8C%15=CC=C%16C(N(C%17=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C%18=CC=CC=C%18)S6)C%19=NC%20=C%21C%22=C%23C(C%24=CC=C%23%20)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%24=O)=O)C=C%22)C3=C(C4=NC5=C(C%25=CC=CC=C%25)C%19=N%21)C=C2,2.61,2.36,5.61,0.57,0.82,2.16,2743.96,5.82,3.66
O=C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=O)C2=C(C1=CC=C3C4=NC5=C(C6=C(C)C(SC(C(C7=N8)=C9N=C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C(C%13=C%10C%11=C%12C=C%13)=NC9=C(C7=NC(C%14=C%15C%16=C%17C=C%14)=C8C%15=CC=C%16C(N(C%17=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C%18=CC=CC=C%18)=C%19C)=C%19S6)C%20=NC%21=C%22C%23=C%24C(C%25=CC=C%24%21)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%25=O)=O)C=C%23)C3=C(C4=NC5=C(C%26=CC=CC=C%26)C%20=N%22)C=C2,3.94,3.8,8.33,0.51,0.94,2.09,2800.04,5.76,3.67
O=C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=O)C2=C(C1=CC=C3C4=NC5=C(C6=C(OCCO7)C7=C(C(C8=N9)=C%10N=C(C%11=CC=C%12C(N(C%13=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C(C%14=C%11C%12=C%13C=C%14)=NC%10=C(C8=NC(C%15=C%16C%17=C%18C=C%15)=C9C%16=CC=C%17C(N(C%18=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C%19=CC=CC=C%19)S6)C%20=NC%21=C%22C%23=C%24C(C%25=CC=C%24%21)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%25=O)=O)C=C%23)C3=C(C4=NC5=C(C%26=CC=CC=C%26)C%20=N%22)C=C2,8.1,7.85,13.82,0.63,0.93,2.11,2773.94,5.76,3.65
O=C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=O)C2=C(C1=CC=C3C4=NC5=C(C6=CC=C(C(C7=N8)=C9N=C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C(C%13=C%10C%11=C%12C=C%13)=NC9=C(C7=NC(C%14=C%15C%16=C%17C=C%14)=C8C%15=CC=C%16C(N(C%17=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C%18=CC=CC=C%18)S6)C%19=NC%20=C%21C%22=C%23C(C%24=CC=C%23%20)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%24=O)=O)C=C%22)C3=C(C4=NC5=C(C%25=CC=CC=C%25)C%19=N%21)C=C2,5.04,4.91,10.14,0.58,0.86,2.0,2715.91,5.8,3.8
O=C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=O)C2=C(C1=CC=C3C4=NC5=C(C6=CC=C(C(C7=N8)=C9N=C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C(C%13=C%10C%11=C%12C=C%13)=NC9=C(C7=NC(C%14=C%15C%16=C%17C=C%14)=C8C%15=CC=C%16C(N(C%17=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C%18=CC=CC=C%18)[Se]6)C%19=NC%20=C%21C%22=C%23C(C%24=CC=C%23%20)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%24=O)=O)C=C%22)C3=C(C4=NC5=C(C%25=CC=CC=C%25)C%19=N%21)C=C2,6.37,6.18,12.56,0.55,0.92,2.04,2762.81,5.74,3.7
O=C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=O)C2=CC=C3C4=C2C1=CC=C4C5=NC6=C(C=C(N=C7C(C8=CC=C9C%10=C8C7=CC=C%10C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C9=O)=O)=C%11C%12=CC=CC=C%12)C%11=C6)C(C%13=CC=CC=C%13)=C53,1.71,1.6,5.2,0.36,0.9,2.2,1392.02,5.8,3.6
O=C(N(CC)/C(S/1)=C(C#N)\C#N)C1=C\C(S2)=C(SC(C(OCCCCCCCC)=O)=C3)C3=C2C(S4)=CC5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC(C%11=C%12C(SC(C(OCCCCCCCC)=O)=C%12)=C(/C=C%13S/C(N(C\%13=O)CC)=C(C#N)/C#N)S%11)=C9)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15,10.07,9.89,16.48,0.7,0.87,1.87,1902.71,5.5,3.63
O=C(N(CC)/C1=C(C#N)/C#N)/C(S1)=C/C(C2=NN(CCCCCCCC)N=C23)=CC=C3C4=CC5=C(C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C(C9=C(C%10(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C(C%13=CC=C(/C=C(S/%14)\C(N(CC)C%14=C(C#N)\C#N)=O)C%15=NN(CCCCCCCC)N=C%15%13)S9)C%10=C6)S4,5.67,5.48,9.86,0.65,0.9,2.06,1772.51,5.34,3.28
O=C(N(CC)/C1=C(C#N)/C#N)/C(S1)=C/C(C2=NSN=C23)=CC=C3C4=CC5=C(C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C(C9=C(C%10(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C(C%13=CC=C(/C=C(S/%14)\C(N(CC)C%14=C(C#N)\C#N)=O)C%15=NSN=C%15%13)S9)C%10=C6)S4,2.55,2.5,5.81,0.61,0.72,1.74,1582.17,5.53,3.79
O=C(N(CC)C(S/1)=S)C1=C/C(C2=C3N=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N2)=CC=C3C(S6)=CC7=C6C8=CC(C(CCCCCCCC)(CCCCCCCC)C9=C%10SC(C%11=CC=C(/C=C%12C(N(CC)C(S\%12)=S)=O)C%13=C%11N=C(C%14=CC=CC=C%14)C(C%15=CC=CC=C%15)=N%13)=C9)=C%10C=C8C7(CCCCCCCC)CCCCCCCC,4.81,4.64,7.34,0.69,0.95,1.68,1618.36,5.35,3.67
O=C(N(CC)C1=S)/C(S1)=C/C(C2=NSN=C23)=CC=C3C4=CC5=C(C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C(C9=C(C%10(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C(C%13=CC=C(/C=C(S%14)\C(N(CC)C%14=S)=O)C%15=NSN=C%15%13)S9)C%10=C6)S4,7.31,7.21,12.9,0.543,1.05,1.83,1518.19,5.52,3.69
O=C(N(CC)C1=S)/C(S1)=C/C2=CC=C(C3=C(OCCCCCC)C(OCCCCCC)=C(C4=NSN=C34)C5=CC=C(/C=C6SC(N(C\6=O)CC)=S)S5)S2,8.19,8.01,13.52,0.57,1.06,1.81,843.2,5.61,3.8
O=C(N(CCC(CCCC)CCCCCC)C1=O)C2=CC=CC(C2=C1C=C3)=C3C(S4)=CC=C4C5=CC6=C(C=C5)C7=CC=C(C8=CC=C(C9=C(C=CC=C%10C(N(CCC(CCCC)CCCCCC)C%11=O)=O)C%10=C%11C=C9)S8)C=C7/C6=C(C#N)/C#N,0.6,0.6,3.0,0.36,0.56,1.93,1147.55,6.14,4.21
O=C(N(CCCCCC)/C(S/1)=C(C#N)\C#N)C1=C\C(S2)=CC(CC(CC)CCCC)=C2C(S3)=CC4=C3C5=CC(C(C6=CC=C(CCCCCC)S6)(C7=CC=C(CCCCCC)S7)C8=C9SC(C%10=C(CC(CC)CCCC)C=C(/C=C%11S/C(N(C\%11=O)CCCCCC)=C(C#N)/C#N)S%10)=C8)=C9C=C5C4(C%12=CC=C(CCCCC)S%12)C%13=CC=C(CCCCCC)S%13,2.21,2.16,4.97,0.367,1.165,1.78,1824.8,5.4,3.62
O=C(N(CCCCCC)C1=O)C2=CC=C(C3=C4C5=C(C6=C3)C(C7=C58)=C(C=C6)C=CC7=CC=C8C=C4)C9=C2C1=CC=C9,1.03,1.03,2.75,0.46,0.82,3.04,529.64,6.28,3.24
O=C(N(CCCCCCCC)C(S/1)=S)C1=C\C2=CC=C(C3=CC=C(/C=C4C(N(CCCCCCCC)C(S/4)=S)=O)S3)S2,9.39,9.03,14.43,0.58,1.06,2.1,677.04,5.67,3.57
O=C(N(CCCCCCCC)C1=O)C2=C(C1=CC=C3C#CC#CC4=CC=C5C6=C(C(N(CCCCCCCC)C5=O)=O)C=CC=C64)C3=CC=C2,3.71,3.65,6.29,0.55,1.07,2.43,664.85,6.0,3.57
O=C(N(CCCCCCCC)C1=O)C2=C(C3=CC=CC=C3)C=C(C4=C5C=C(C6=CC=CC=C6)C1C42)C7=CC(C8=CC=CC=C8)=C9C%10=C7C5=CC(C%11=CC=CC=C%11)=C%10C(N(CCCCCCCC)C9=O)=O,3.67,3.6,6.56,0.546,1.024,2.01,921.19,6.02,4.01
O=C(N(CCCCCCCC)C1=O)C2=C(CCC3=CC=CC=C3)C=C(C4=C5C=C(CCC6=CC=CC=C6)C1C42)C7=CC(CCC8=CC=CC=C8)=C9C%10=C7C5=CC(CCC%11=CC=CC=C%11)=C%10C(N(CCCCCCCC)C9=O)=O,1.2,1.15,2.44,0.485,1.016,2.01,1033.41,5.92,3.91
O=C(N(CCCCCCCC)C1=O)C2=C(CCCCCC)C=C(C3=C4C=C(CCCCCC)C1C32)C5=CC(CCCCCC)=C6C7=C5C4=CC(CCCCCC)=C7C(N(CCCCCCCC)C6=O)=O,0.65,0.58,1.51,0.393,1.076,2.07,953.45,5.9,3.83
O=C(N(CCCCCCCC)C1=O)C2=C1C(C3=CC=CS3)=C(C4=CC=C(C(OC)=O)C5=C4C6=CC=C5)C6=C2C7=CC=CS7,1.61,1.61,3.5,0.45,1.02,3.45,605.77,6.12,2.67
O=C(N(CCCCCCCC)C1=O)C2=C1C(C3=CC=CS3)=C(C4=CC=C(C5=CC=C(C([H])=O)C=C5)C6=C4C7=CC=C6)C7=C2C8=CC=CS8,2.4,2.4,5.14,0.45,1.03,3.46,651.84,6.18,2.72
O=C(N(CCCCCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC=C(C6=CC=C(CCCCCC)S6)S5)=CC1C32)C7=C(C8=CC=C(C9=CC=C(CCCCCC)S9)S8)C=C%10C%11=C7C4=CC=C%11C(N(CCCCCCCC)C%10=O)=O,0.07,0.07,0.66,0.365,0.29,1.47,1113.61,5.37,3.9
O=C(N(CCCCCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC=C(C6=CC=CS6)S5)=CC1C32)C7=C(C8=CC=C(C9=CC=CS9)S8)C=C%10C%11=C7C4=CC=C%11C(N(CCCCCCCC)C%10=O)=O,0.11,0.11,1.0,0.36,0.3,1.48,945.28,5.38,3.9
O=C(N(CCCCCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC=C(CCCCCC)S5)=CC1C32)C6=C(C7=CC=C(CCCCCC)S7)C=C8C9=C6C4=CC=C9C(N(CCCCCCCC)C8=O)=O,0.02,0.02,0.23,0.341,0.29,1.77,949.37,5.58,3.81
O=C(N(CCCCCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC=CS5)=CC1C32)C6=C(C7=CC=CS7)C=C8C9=C6C4=CC=C9C(N(CCCCCCCC)C8=O)=O,0.19,0.19,1.72,0.371,0.3,1.87,781.04,5.67,3.8
O=C(N(CCCCCCCC)C1=O)C2=CC=CC3=C2C1=CC=C3C4=CC=C(C#CC(S5)=CC=C5C6=CC=C7C8=C6C=CC=C8C(N(CCCCCCCC)C7=O)=O)S4,0.82,0.8,2.16,0.3,1.24,2.43,805.06,5.84,3.41
O=C(N(CCCCCCCCCCCCCC)C1=O)C2=CC=CC3=C2C1=CC=C3C4=CC=C(C#CC(S5)=CC=C5C6=CC=C7C8=C6C=CC=C8C(N(CCCCCCCCCCCCCC)C7=O)=O)S4,1.68,1.65,3.71,0.36,1.22,2.44,973.39,5.83,3.39
O=C(N(N1C(C(C=C2)=C3C4=C2C5=CC=C(C(N(C(CCCCC)CCCCC)C6=O)=O)C(C6=CC7)=C5C7=C4CC=C3C1=O)=O)C8=O)C9=CCC(C%10=C%11C=CC8=C%109)=C%12CC=C%13C%14=C%12C%11=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O,5.56,5.56,12.86,0.54,0.79,2.11,1091.32,5.87,3.76
O=C(N1C(CCCC)CCCC)C2=C3C4=C(C=C2)C5=CC=C6C7=C(C(N(C(CCCC)CCCC)C6=O)=O)C=C(C8=CC=C(P(C(C=C9)=CC=C9C%10=CC(C(N%11C(CCCC)CCCC)=O)=C%12C%13=C%10C%14=CC=C%15C%16=C(C(N(C(CCCC)CCCC)C%15=O)=O)C=CC(C%13=CC=C%12C%11=O)=C%14%16)(C(C=C%17)=CC=C%17C%18=CC(C(N%19C(CCCC)CCCC)=O)=C%20C(C%21=CC=C%20C%19=O)=C%18C%22=CC=C%23C%24=C(C(N(C(CCCC)CCCC)C%23=O)=O)C=CC%21=C%22%24)=O)C=C8)C(C4=CC=C3C1=O)=C57,11.01,10.68,14.71,0.741,0.98,2.18,2200.76,5.88,3.7
O=C(N1C(CCCC)CCCC)C2=C3C4=C(C=C2)C5=CC=C6C7=C(C(N(C(CCCC)CCCC)C6=O)=O)C=C(C8=CC=C(P(C(C=C9)=CC=C9C%10=CC(C(N%11C(CCCC)CCCC)=O)=C%12C%13=C%10C%14=CC=C%15C%16=C(C(N(C(CCCC)CCCC)C%15=O)=O)C=CC(C%13=CC=C%12C%11=O)=C%14%16)(C(C=C%17)=CC=C%17C%18=CC(C(N%19C(CCCC)CCCC)=O)=C%20C(C%21=CC=C%20C%19=O)=C%18C%22=CC=C%23C%24=C(C(N(C(CCCC)CCCC)C%23=O)=O)C=CC%21=C%22%24)=S)C=C8)C(C4=CC=C3C1=O)=C57,9.67,9.67,13.98,0.694,0.96,2.15,2216.82,5.89,3.74
O=C(N1C(CCCCC)CCCCC)C2=C3C4=C(C=C2)C5=CC=C6C7=C(C(N(C(CCCCC)CCCCC)C6=O)=O)C=C(C#CC8=CC(C#CC9=CC(C(N%10C(CCCCC)CCCCC)=O)=C%11C(C%12=CC=C%11C%10=O)=C9C%13=CC=C%14C%15=C(C(N(C(CCCCC)CCCCC)C%14=O)=O)C=CC%12=C%13%15)=C%16C=CC%17=C(C#CC%18=CC(C(N%19C(CCCCC)CCCCC)=O)=C%20C%21=C%18C%22=CC=C%23C%24=C(C(N(C(CCCCC)CCCCC)C%23=O)=O)C=CC(C%21=CC=C%20C%19=O)=C%22%24)C=C(C#CC%25=CC(C(N%26C(CCCCC)CCCCC)=O)=C%27C%28=C%25C%29=CC=C%30C%31=C(C(N(C(CCCCC)CCCCC)C%30=O)=O)C=CC(C%28=CC=C%27C%26=O)=C%29%31)C%32=C%17C%16=C8C=C%32)C(C4=CC=C3C1=O)=C57,7.71,7.65,18.13,0.546,0.78,1.95,3086.07,5.84,3.89
O=C(N1C(CCCCCC)CCCCCC)C2=C3C4=C(C=C2)C5=CC=C6C7=C(C(N(C(CCCCCC)CCCCCC)C6=O)=O)C=C(C#CC8=CC(C#CC9=CC(C(N%10C(CCCCCC)CCCCCC)=O)=C%11C(C%12=CC=C%11C%10=O)=C9C%13=CC=C%14C%15=C(C(N(C(CCCCCC)CCCCCC)C%14=O)=O)C=CC%12=C%13%15)=C%16C=CC%17=C(C#CC%18=CC(C(N%19C(CCCCCC)CCCCCC)=O)=C%20C%21=C%18C%22=CC=C%23C%24=C(C(N(C(CCCCCC)CCCCCC)C%23=O)=O)C=CC(C%21=CC=C%20C%19=O)=C%22%24)C=C(C#CC%25=CC(C(N%26C(CCCCCC)CCCCCC)=O)=C%27C%28=C%25C%29=CC=C%30C%31=C(C(N(C(CCCCCC)CCCCCC)C%30=O)=O)C=CC(C%28=CC=C%27C%26=O)=C%29%31)C%32=C%17C%16=C8C=C%32)C(C4=CC=C3C1=O)=C57,7.59,7.41,17.2,0.562,0.8,2.04,3310.5,5.9,3.86
O=C(N1C(CCCCCCCC)CCCCCCCCCC)C2=C3C4=C(C(OC5(C)C)=C2)C6=C5C=C7C8=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C7=O)=O)C=C(C#CC9=CC=C(N(C%10=CC=C(C#CC%11=CC(C(N%12C(CCCCCCCCCC)CCCCCCCC)=O)=C%13C%14=C%11C%15=CC=C%16C%17=C(C(N(C(CCCCCCCCCC)CCCCCCCC)C%16=O)=O)C=C%18C(C%14=C(OC%18(C)C)C=C%13C%12=O)=C%15%17)C=C%10)C%19=CC=C(C#CC%20=CC(C(N%21C(CCCCCCCCCC)CCCCCCCC)=O)=C%22C%23=C%20C%24=CC=C%25C%26=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C%25=O)=O)C=C%27C(C%23=C(C(C)(C)O%27)C=C%22C%21=O)=C%24%26)C=C%19)C=C9)C(C4=CC=C3C1=O)=C68,5.84,5.6,10.28,0.624,0.91,1.77,3246.69,5.55,3.78
O=C(N1C(CCCCCCCC)CCCCCCCCCC)C2=C3C4=C(C(OC5(C)C)=C2)C6=C5C=C7C8=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C7=O)=O)C=C(C#CC9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=C(C#CC%12=CC(C(N%13C(CCCCCCCCCC)CCCCCCCC)=O)=C%14C%15=C%12C%16=CC=C%17C%18=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C%17=O)=O)C=C%19C(C%15=C(C(C)(C)O%19)C=C%14C%13=O)=C%16%18)C=C%11)C=C9)C(C4=CC=C3C1=O)=C68,1.31,1.22,3.84,0.368,0.865,1.69,2248.43,5.52,3.83
O=C(N1C2=CC(C(CCCCCC)(CCCCCC)C3C4C=CC=C3)=C4C=C2)C(C5=C6C=CC=C5C1=O)=CC=C6C#CC(S7)=C(CC(CC)CCCC)C=C7C(C8=NSN=C98)=CC%10=C9C=C(C%11=CC(CC(CC)CCCC)=C(C#CC%12=CC=C%13C(N(C(C%14=CC=CC%12=C%14%13)=O)C(C=C%15)=CC%16=C%15C%17C=CC=CC%17C%16(CCCCCC)CCCCCC)=O)S%11)C%18=NSN=C%10%18,1.6,1.57,3.92,0.45,0.9,2.72,1740.45,6.15,3.43
O=C(N1C2=CC(C(CCCCCC)(CCCCCC)C3C4C=CC=C3)=C4C=C2)C(C5=C6C=CC=C5C1=O)=CC=C6C#CC(S7)=C(CCCCCC)C=C7C(C8=NSN=C98)=CC%10=C9C=C(C%11=CC(CCCCCC)=C(C#CC%12=CC=C%13C(N(C(C%14=CC=CC%12=C%14%13)=O)C(C=C%15)=CC%16=C%15C%17C=CC=CC%17C%16(CCCCCC)CCCCCC)=O)S%11)C%18=NSN=C%10%18,2.14,2.13,4.5,0.52,0.92,2.7,1684.35,6.12,3.42
